Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J3","Header-1","PinHeader_1x20_P2.54mm_Vertical",125.000000,-107.780000,-90.000000,bottom
"J4","Header-2","PinHeader_1x20_P2.54mm_Vertical",125.000000,-90.000000,-90.000000,bottom
"REF**","FireEmoji","FireEmoji",127.896300,-99.214680,-90.000000,bottom
"C1","4.7uF","C_0402_1005Metric",162.750000,-93.000000,90.000000,top
"C2","100nF","C_0402_1005Metric",154.750000,-97.500000,180.000000,top
"C3","100nF","C_0402_1005Metric",161.000000,-104.000000,-90.000000,top
"C4","100nF","C_0402_1005Metric",166.250000,-98.000000,0.000000,top
"C5","100nF","C_0402_1005Metric",155.500000,-95.500000,180.000000,top
"C6","100nF","C_0402_1005Metric",154.750000,-99.750000,180.000000,top
"C7","100nF","C_0402_1005Metric",156.750000,-103.250000,180.000000,top
"C8","100nF","C_0402_1005Metric",165.000000,-102.750000,0.000000,top
"C9","100nF","C_0402_1005Metric",166.250000,-99.000000,0.000000,top
"C10","100nF","C_0402_1005Metric",165.500000,-94.750000,0.000000,top
"C11","100nF","C_0402_1005Metric",158.500000,-92.750000,90.000000,top
"C12","100nF","C_0402_1005Metric",159.500000,-92.750000,90.000000,top
"C13","1uF","C_0402_1005Metric",138.770000,-97.250000,180.000000,top
"C14","1uF","C_0402_1005Metric",142.500000,-99.770000,-90.000000,top
"C15","1uF","C_0402_1005Metric",143.230000,-97.250000,180.000000,top
"C16","1uF","C_0402_1005Metric",147.000000,-99.750000,-90.000000,top
"C17","1uF","C_0402_1005Metric",147.000000,-97.250000,180.000000,top
"C18","100nF","C_0402_1005Metric",151.750000,-99.980000,-90.000000,top
"C19","1uF","C_0402_1005Metric",155.230000,-91.500000,180.000000,top
"C20","100nF","C_0402_1005Metric",156.000000,-105.250000,-90.000000,top
"C21","10uF","C_0402_1005Metric",167.000000,-102.750000,180.000000,top
"D1","BS5817WS","D_SOD-323_HandSoldering",135.750000,-97.750000,180.000000,top
"D2","RED","LED_0603_1608Metric",135.400000,-92.100000,0.000000,top
"D3","RED","LED_0603_1608Metric",166.000000,-92.250000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",127.500000,-99.000000,-90.000000,top
"J2","VOLTSEL","PinHeader_1x03_P2.54mm_Vertical",165.210000,-105.250000,90.000000,top
"J5","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",138.420000,-102.620000,90.000000,top
"J6","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",138.420000,-95.000000,90.000000,top
"J7","Conn_02x05_Odd_Even","PinHeader_2x05_P1.27mm_Vertical_SMD",171.500000,-96.750000,0.000000,top
"R1","10k","R_0402_1005Metric",144.250000,-105.500000,180.000000,top
"R2","1k","R_0402_1005Metric",146.250000,-105.500000,180.000000,top
"R3","27","R_0402_1005Metric",160.750000,-93.000000,90.000000,top
"R4","27","R_0402_1005Metric",161.750000,-93.000000,-90.000000,top
"R5","470R","R_0402_1005Metric",168.500000,-92.250000,180.000000,top
"R6","10k","R_0402_1005Metric",156.750000,-92.250000,90.000000,top
"R7","5.1K","R_0402_1005Metric",133.250000,-96.250000,90.000000,top
"R8","5.1K","R_0402_1005Metric",133.250000,-101.500000,90.000000,top
"R9","1k","R_0402_1005Metric",172.500000,-102.000000,0.000000,top
"R10","10k","R_0402_1005Metric",172.500000,-101.000000,180.000000,top
"R11","10k","R_0402_1005Metric",167.000000,-101.000000,0.000000,top
"R12","470R","R_0402_1005Metric",132.900000,-92.100000,0.000000,top
"REF**","SMD-Pin1-Pointer","SMD-Pin1-Pointer",138.250000,-105.250000,0.000000,top
"SW1","KMR231GLFS","SW_Push_1P1T_NO_CK_KMR2",150.800000,-93.800000,0.000000,top
"SW2","KMR231GLFS","SW_Push_1P1T_NO_CK_KMR2",150.750000,-104.050000,0.000000,top
"U1","RP2354A","RP2350A-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",160.700000,-98.500000,0.000000,top
"U2","MCP1703T-3302E/CB","SOT-23",140.250000,-98.750000,90.000000,top
"U3","MCP1703T-1802E/CB","SOT-23",144.750000,-98.750000,90.000000,top
"U4","TLV71311PDBVR","SOT-23-5",149.500000,-98.887500,-90.000000,top
"U5","LMV331","SOT-353_SC-70-5",169.750000,-102.000000,180.000000,top
"Y1","ECS-3225MV-120-BN-TR3","ECS-3225MV-120-BN-TR3",158.500000,-105.250000,0.000000,top
